ID,Headword,Form,Classification,Definition,Examples,Tagging Note
A-0228,Deficient,wantinge; wanting; lackinge; lacking; ,Condition & Appearance,Describes the absence of some expected or necessary quality or quantity.,,
A-0045,Disability,lamenes,Condition & Appearance,"Describes a physical, sensory, or functional condition signaled by the adjective “Disability,” applied to people, goods, or objects.",lame of body,
A-0046,Discourteous,discourteousely,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Discourteous.”,discourteously requited; discourteous manner,
A-0047,Disgraceful,discredible,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Disgraceful.”,disgraceful speeches; discredible speeches,
A-0201,Disguised,,"Lawfulness, Merchantability, & Authenticity","Marks a thing or act as altered in appearance to conceal its true identity or status, often to deceive or evade detection.",,
A-0048,Dishonest,dishonestly; knave; rogue; roge,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Dishonest.”,dishonestly dissuaded; dishonest dealing,
A-0049,Distempered,distempered,Condition & Appearance,"Describes a physical, sensory, or functional condition signaled by the adjective “Distempered,” applied to people, goods, or objects.",distempered nature; distempered disposition,
A-0050,Doubtful,doubtfull; vncerten,Mental & Emotional State,"Describes an internal feeling, attitude, or mental posture characterized by “Doubtful.”",doubtful whether; uncertain and doubtful,
A-0051,Dutch,doucheman,Nationality,Describes national or regional origin indicated by “Dutch.”,dutch merchant,
A-0052,Eager,eagernes,Mental & Emotional State,"Describes an internal feeling, attitude, or mental posture characterized by “Eager.”",eagerness of play; eager desire,
A-0053,Earnest,earnest; earnestlie,Mental & Emotional State,"Describes an internal feeling, attitude, or mental posture characterized by “Earnest.”",earnest entreaty; very earnestly entreated,
A-0054,English,englishe; inglishe,Nationality,Describes national or regional origin indicated by “English.”,english cloth,
A-0055,Excessive,excessive,Quantity & Value,"Describes magnitude, sufficiency, degree, or economic worth conveyed by “Excessive.”",excessive value; almost the double value,
A-0056,Experienced,experienced; skilful; skilfull; skylfull; able,Expertise & Competence,"Describes a person’s ability, knowledge, experience, or skill as characterized by “Experienced.”",long experienced; well experienced in the mystery,
A-0226,Extortionate,extorcionably,Moral Character,"Describes a demand, charge, price, payment, or practice as excessive, oppressive, or obtained through abuse of power or coercion.",,
A-0058,Fair,faire; fayre,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Fair.”,fair promises; fair and sweet speeches,
A-0059,Faithful,faithefull; faythfull,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Faithful.”,faithful promise; faithfully covenanted; faithfully promised,
A-0061,False,false; falslye; vntruely,"Lawfulness, Merchantability, & Authenticity","Describes whether something is lawful, genuine, valid, authorized, or fit for commerce as framed by “False.”",false cocket; falsely written; most falsely alleged; false dice,
A-0062,Feigned,feyned; fayned; pretended,"Lawfulness, Merchantability, & Authenticity","Marks something as pretended or not sincerely meant, often used to deny genuineness.",feigned suit; feigned and frivolous,
A-0064,Flawed,flawes,Condition & Appearance,"Describes a physical, sensory, or functional condition signaled by the adjective “Flawed,” applied to people, goods, or objects.",full of flaws; full of flaws and leaks,
A-0065,Flemish,flemyshe,Nationality,Describes national or regional origin indicated by “Flemish.”,flemish merchant,
A-0066,Forced,enforsed; enforced,Mental & Emotional State,"Describes an internal feeling, attitude, or mental posture characterized by “Forced.”",forced to make; enforced thereto,Edge case: can reflect external compulsion; ensure it modifies the actor’s action rather than being mere narrative.
A-0067,Foreign,estranger; stranger,Nationality,Describes national or regional origin indicated by “Foreign.”,foreign born; stranger born,
A-0068,Forged,forged,"Lawfulness, Merchantability, & Authenticity","Marks a writing, seal, or instrument as falsely made or altered to appear genuine.",forged certificate; forged discharge,
A-0202,Foul,fowle,Condition & Appearance,"Marks something as dirty, tainted, corrupted, or otherwise physically unpleasant; in some contexts it can also carry moral shading.",,Edge case: physical taint vs moral insult; choose based on the noun modified.
A-0227,Fraudulent,fraudulently; fradulently; fraudulent,Moral Character,"Describes a person, act, transaction, claim, or document as involving deceit, falsehood, or intentional misrepresentation.",,
A-0216,Free,frelye; gratis,Quantity & Value,"Describes a person, object, act, or condition as unconstrained, unrestricted, exempt, or not subject to obligation, payment, or servitude.",he same xx£ was not Lente gratis or frelye,
A-0071,French,frenche; ffrench,Nationality,Describes national or regional origin indicated by “French.”,french wine,
A-0220,Frequent,often tymes,Temporal Attributes,"Describes an act, event, condition, or practice as occurring often or repeatedly within the relevant period.",,
A-0072,Friendly,friendlie; frindely,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Friendly.”,friendly manner; friendly and courteous manner,
A-0073,Fugitive,fugytiffe,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Fugitive.”,fugitive person; a person fugitive,
A-0074,Garded With,garded,Condition & Appearance,"Normally used with cloth to describe a lining or fringe, often of fur.",garded with fur,
A-0076,Gascon,gascoygne,Nationality,Describes national or regional origin indicated by “Gascon.”,gascon wine,
A-0077,Gilt,gilte; gilt,Condition & Appearance,"Describes a physical, sensory, or functional condition signaled by the adjective “Gilt,” applied to people, goods, or objects.",gilt silver; parcel gilt,
A-0079,Good,good,Multi-Use Terms,"A broad evaluative term that may describe quality, moral standing, fitness, or desirability depending on context; use more specific attributes when the text supplies them.",good commodities; good reputation,"Edge case: often functions as filler praise/quality; prefer a specific attribute (e.g., wholesome, merchantable, honest) when present."
A-0081,Greedy,agreedy,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Greedy.”,greedy desire; desirous of gain,
A-0082,Green,greene,Condition & Appearance,"Describes a physical, sensory, or functional condition signaled by the adjective “Green,” applied to people, goods, or objects.",green cloth,
A-0083,Hard,harde,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Hard.”,hard speeches; very hard speeches,
A-0084,Haughty,haughtye,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Haughty.”,haughty spirit; woman of a haughty spirit,
A-0085,Honest,honeste; honest,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Honest.”,honest dealing; just and honest fidelity,
A-0086,Humble,humble,Mental & Emotional State,"Describes an internal feeling, attitude, or mental posture characterized by “Humble.”",humble submission,
A-0087,Ignorant,ignorante; vnexperienced; unlearned; backwardnes,Expertise & Competence,"Describes a person’s ability, knowledge, experience, or skill as characterized by “Ignorant.”",altogether ignorant; himself ignorant,
A-0088,Ill-conditioned,ill condicioned,Condition & Appearance,"Describes a physical, sensory, or functional condition signaled by the adjective “Ill-conditioned,” applied to people, goods, or objects.",ill conditioned; so ill conditioned,
A-0089,Indebted,indetted,Quantity & Value,Marks a person or estate as owing money or being burdened with debt; often relevant to capacity and obligation.,indebted in a great sum; being indebted,
A-0090,Indifferent,indyfferently,Mental & Emotional State,"Used to describe a person, often an arbitrator or mediator, as neutral.",indifferently chosen; indifferently elected,
A-0091,Indirect,indirecte; indirectly,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Indirect.”,indirect means; indirect course,
A-0093,Infirm,infirmity; impotency,Condition & Appearance,"Describes a physical, sensory, or functional condition signaled by the adjective “Infirm,” applied to people, goods, or objects.",impotency of body; infirm in body,
A-0094,Inordinate,inordynat,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Inordinate.”,inordinate play; inordinate gaming,
A-0095,Insufficient,insufficient; vncertaine,"Lawfulness, Merchantability, & Authenticity","Describes whether something is lawful, genuine, valid, authorized, or fit for commerce as framed by “Insufficient.”",insufficient bill; uncertain and insufficient,
A-0096,Intoxicated,drinke,Condition & Appearance,"Marks a person as drunk or under the influence, describing bodily condition that may affect capacity and conduct.",gotten him to drink; intoxicated thereby,
A-0208,Invalid,,"Lawfulness, Merchantability, & Authenticity","Marks an act, document, claim, or condition as lacking legal force, effect, or recognition.",,
A-0097,Irish,irysh,Nationality,Describes national or regional origin indicated by “Irish.”,irish servant,
A-0098,Just,iust; iustely,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Just.”,just and true account; justly behaved,
A-0099,Kentish,kentishe,Nationality,Describes national or regional origin indicated by “Kentish.”,kentish cloth,
A-0101,Late,late,Temporal Attributes,"Describes relation to time—age, timing, sequence, or duration—expressed by “Late.”",late husband; late owner,
A-0102,Latent,discerned,Condition & Appearance,"Describes a physical, sensory, or functional condition signaled by the adjective “Latent,” applied to people, goods, or objects.",not well discerned; latent defect,Edge case: check form mapping (currently shows 'discerned'); confirm whether the intended form is 'latent/hidden'.
A-0103,Lawful,lawfull; laufull; valid,"Lawfulness, Merchantability, & Authenticity","Describes whether something is lawful, genuine, valid, authorized, or fit for commerce as framed by “Lawful.”",lawful authority; lawful querent,
A-0105,Leaky,leake; leakes,Condition & Appearance,"Describes a physical, sensory, or functional condition signaled by the adjective “Leaky,” applied to people, goods, or objects.",great leak; full of leaks,
A-0106,Lewd,lewd; lewde,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Lewd.”,lewd behaviour; lewd practice,
A-0107,Living,lyveing,Condition & Appearance,"Describes a physical, sensory, or functional condition signaled by the adjective “Living,” applied to people, goods, or objects.",living person,
A-0108,Malicious,malicious; maliciously,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Malicious.”,maliciously devised; malicious interruption,
A-0109,Merchantable,merchauntable; vendible,"Lawfulness, Merchantability, & Authenticity",Marks goods as fit for sale or commerce.,merchantable bread; merchantable goods,
A-0110,Merchantlike,merchantlike,Expertise & Competence,"Describes a person’s ability, knowledge, experience, or skill as characterized by “Merchantlike.”",orderly kept merchantlike; merchantlike accounts,
A-0219,Monthly,,Temporal Attributes,"Describes an event, payment, obligation, occurrence, or practice as taking place once each month or at intervals measured by months.",,
A-0112,Naught,naught,Condition & Appearance,"Describes a physical, sensory, or functional condition signaled by the adjective “Naught,” applied to people, goods, or objects.",naught and unserviceable,
A-0113,Needy,,Quantity & Value,"Describes magnitude, sufficiency, degree, or economic worth conveyed by “Needy.”",pinched with want; in great want,
A-0210,Noble,,Honorific & Courtesy Language,"An honorific or rhetorical description applied to a person to convey social esteem or dignity, without asserting a formal legal rank or status.",,
A-0114,Norman,normandy,Nationality,Describes national or regional origin indicated by “Norman.”,norman custom,
A-0115,Notorious,notorious,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Notorious.”,notorious cheater; notoriously reputed,
A-0116,Obscured,obscureth,Condition & Appearance,"Describes a physical, sensory, or functional condition signaled by the adjective “Obscured,” applied to people, goods, or objects.",obscured himself; obscured from view,
A-0117,Obstinate,obstynatlie; backward,Mental & Emotional State,"Describes an internal feeling, attitude, or mental posture characterized by “Obstinate.”",obstinately bent; very obstinate,
A-0118,Old,olde; aged,Condition & Appearance,"Describes a physical, sensory, or functional condition of being old; applied to people, goods, or objects. Does not apply to a statement of a person's age in years.",old barley; old defect; aged man; of great age,"Do not use for the verb ""aged"" when referring to the age of a person in a deposition."
A-0119,Open,open,Condition & Appearance,"Describes a physical, sensory, or functional condition signaled by the adjective “Open,” applied to people, goods, or objects.",open dealing,
A-0120,Orient,orient,Condition & Appearance,"Describes a physical, sensory, or functional condition signaled by the adjective “Orient,” applied to people, goods, or objects.",orient pearls; rich and orient pearls,
A-0121,Outrageous,owtragious,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Outrageous.”,outrageous manner; most outrageous manner,
A-0122,Outward,outward,Condition & Appearance,"Describes a physical, sensory, or functional condition signaled by the adjective “Outward,” applied to people, goods, or objects.",outward show; outward appearance,
A-0123,Partial,half; payd,Quantity & Value,"Marks something as incomplete or not whole, such as half-paid, part-performed, or partial satisfaction.",partially paid; almost half paid,
A-0124,Peaceable,peaceable,Mental & Emotional State,"Describes an internal feeling, attitude, or mental posture characterized by “Peaceable.”",peaceable manner; quiet and peaceable,
A-0126,Perilous,perillous,Mental & Emotional State,"Describes an internal feeling, attitude, or mental posture characterized by “Perilous.”",peril of life; perilous example,
A-0213,Plain,,Multi-Use Term,"Describes a person, object, statement, or condition as simple, ordinary, evident, or lacking ornament, distinction, or complexity.",,
A-0127,Poor,poore; pore,Multi-Use Term,"A broad term that may indicate low wealth, low quality, or insufficiency depending on context.",poor man; poor condition,"Edge case: can mean impoverished, low-quality, or insufficient; disambiguate by object (person vs goods vs quantity)."
A-0129,Portuguese,portyngale; portingale,Nationality,Describes national or regional origin indicated by “Portuguese.”,portuguese merchant,
A-0215,Presumptuous,forwardnes; forward,Moral Character,"Describes a person, act, or statement as excessively bold, forward, or undertaken without proper authority, warrant, or respect.",,
A-0131,Private,privatly,Mental & Emotional State,"Describes an internal feeling, attitude, or mental posture characterized by “Private.”",privately made; done privately,Edge case: often describes manner/setting (in private) rather than a mental state; tag only when it modifies conduct or communication.
A-0223,Quarterly,Quarterlie,Temporal Attributes,"Describes an event, payment, obligation, occurrence, or practice as taking place once every quarter year or at intervals of three months.",,
A-0132,Raw,rawe,Condition & Appearance,"Describes a physical, sensory, or functional condition signaled by the adjective “Raw,” applied to people, goods, or objects.",raw silk,
A-0133,Ready,reddye,Quantity & Value,"Describes magnitude, sufficiency, degree, or economic worth conveyed by “Ready.”",ready money; paid ready,
A-0134,Red,redde,Condition & Appearance,"Describes a physical, sensory, or functional condition signaled by the adjective “Red,” applied to people, goods, or objects.",red cloth,
A-0222,Red-Haired,,Condition & Appearance,Describes a person’s physical appearance as having red or reddish-colored hair.,,
A-0135,Reputed,reputed,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Reputed.”,reputed owner; commonly reputed,
A-0136,Residue,residue,Quantity & Value,"Marks what remains after part is taken, paid, or accounted for; the remainder or balance.",residue thereof,
A-0137,Rich,riche; ritche; wealthy; welthie; welthe,Multi-Use Term,Describes wealth or a quality of lushness.,rich man; rich goods,
A-0138,Riotous,riotuosly,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Riotous.”,riotous behaviour; riotously rushed,
A-0141,Rough,rough,Condition & Appearance,"Describes a physical, sensory, or functional condition signaled by the adjective “Rough,” applied to people, goods, or objects.",rough waste ground,
A-0142,Russian,muscovy; muskovy,Nationality,Describes national or regional origin indicated by “Russian.”,russian merchant,
A-0143,Safekeeping,safe,Condition & Appearance,Marks something as kept secure or in safe custody; can describe the condition of goods or the act of keeping them secure.,kept safe; kept in safekeeping,Edge case: can modify goods (kept safe) or an arrangement (left in safekeeping).
A-0144,Safely,safely,Condition & Appearance,Marks an action or movement as done without harm or danger; may describe successful arrival or secure handling.,arrived safely; came safely,Edge case: may describe successful travel/handling rather than a person’s internal state.
A-0145,Scottish,scottishe,Nationality,Describes national or regional origin indicated by “Scottish.”,scottish trader,
A-0146,Secret,secretly; secreate,Mental & Emotional State,"Describes an internal feeling, attitude, or mental posture characterized by “Secret.”",secretly concluded; in secret manner,Edge case: often describes concealment/manner (secretly) rather than emotion; tag when secrecy is a salient characterization.
A-0225,Shameful,shamfully,Moral Character,"An evaluative description expressing that a person, act, condition, or circumstance is regarded as disgraceful, dishonorable, or deserving of shame.",did most shamfully Revile ,
A-0147,Short,short,Quantity & Value,"Describes magnitude, sufficiency, degree, or economic worth conveyed by “Short.”",short measure,
A-0148,Sick,sick; sickness,Condition & Appearance,"Describes a physical, sensory, or functional condition signaled by the adjective “Sick,” applied to people, goods, or objects.",sick in body,
A-0149,Simple,simple,Multi-Use Term,"Describes a person’s ability, knowledge, experience, or skill as characterized by “Simple.”",simple man; cannot read nor write,
A-0150,Sinister,synyster,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Sinister.”,sinister dealing; sinister counsel,
A-0152,Slack,slacknes,Mental & Emotional State,"Describes an internal feeling, attitude, or mental posture characterized by “Slack.”",slackness in performance; his slackness grew,
A-0203,Slanderous,sclaunderous,Moral Character,"Marks speech or allegation as defamatory, injurious to reputation, or tending to scandal.",,
A-0153,Small,small,Quantity & Value,"Describes magnitude, sufficiency, degree, or economic worth conveyed by “Small.”",so small; very small quantity,
A-0155,Spanish,spanyshe; spaynishe,Nationality,Describes national or regional origin indicated by “Spanish.”,spanish wine,
A-0156,Speeding,speeding,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Speeding.”,speeding fellow; speeding and false dealing,
A-0044,Spiteful,despightfull,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Spiteful.”,despiteful manner; despightful and disgraceful manner,
A-0157,Spoiled,spoyled; rotten; musty; unwholesome; wett,Condition & Appearance,"Deterioration or corruption of goods due to time, environment, or condition, without implying a specific damaging act.",spoiled by wet,
A-0158,Staunch,staunch,Condition & Appearance,"Describes a physical, sensory, or functional condition signaled by the adjective “Staunch,” applied to people, goods, or objects.",strong and staunch; good and staunch,
A-0159,Strong,stronge,Condition & Appearance,"Describes a physical, sensory, or functional condition signaled by the adjective “Strong,” applied to people, goods, or objects.",strong goods; good strong wares,
A-0161,Submissive,submyssyve,Mental & Emotional State,"Describes an internal feeling, attitude, or mental posture characterized by “Submissive.”",submissive behaviour,
A-0162,Subtle,subtillye; subtill,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Subtle.”,subtle practice; subtle manner,
A-0163,Sudden,sodayne,Temporal Attributes,"Describes relation to time—age, timing, sequence, or duration—expressed by “Sudden.”",sudden execution; sudden rising,
A-0164,Sweet,sweete,Condition & Appearance,"Describes a physical, sensory, or functional condition signaled by the adjective “Sweet,” applied to people, goods, or objects.",sweet bread; sweet and wholesome,
A-0166,Threatening,threatininge,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Threatening.”,threatening speeches; many threatening speeches,
A-0167,Tractable,tractible,Expertise & Competence,"Describes a person’s ability, knowledge, experience, or skill as characterized by “Tractable.”",tractable and flexible,
A-0168,True,trew; truly; bona fide,"Lawfulness, Merchantability, & Authenticity","Marks something as genuine, correct, or faithful as opposed to false or counterfeit.",true dealing; just and true account,
A-0078,Trustworthy,,Moral Character,"A characterization asserting that a person, statement, or source is reliable and deserving of trust, as framed by the language of the clause.",,
A-0169,Uncertain,vncerten; vncertaine,Mental & Emotional State,"Describes an internal feeling, attitude, or mental posture characterized by “Uncertain.”",uncertain whether; cannot certainly depose,
A-0170,Unconscionable,vnconscionable,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Unconscionable.”,unconscionable dealing; very unconscionable,
A-0171,Uncustomed,vncustommed; vncustomed,"Lawfulness, Merchantability, & Authenticity","Marks goods as not lawfully customed (i.e., duties not paid or goods not cleared), often tied to smuggling contexts.",uncustomed goods; not customed,
A-0173,Undue,unduely,"Lawfulness, Merchantability, & Authenticity","Describes whether something is lawful, genuine, valid, authorized, or fit for commerce as framed by “Undue.”",unduly obtained; unduly procured,
A-0224,Unfit,vnfit; vnfytt; unfytt,Condition & Appearance,"Describes a person, object, place, act, or condition as unsuitable, incapable, defective, or not fit for its intended purpose or function.",vnfytt places ,
A-0175,Ungrateful,vngratefully,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Ungrateful.”,ungratefully dealt; very ungrateful,
A-0176,Unjust,vniust,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Unjust.”,unjust demands; most unjustly oppressed,
A-0177,Unlawful,vnlawfull,"Lawfulness, Merchantability, & Authenticity","Describes whether something is lawful, genuine, valid, authorized, or fit for commerce as framed by “Unlawful.”",unlawful courses; unlawful practice; vnlawfull markett ,
A-0179,Unmerchantable,,"Lawfulness, Merchantability, & Authenticity",Marks goods as not fit for sale or commerce.,not vendible; unmerchantable goods,
A-0180,Unreasonable,unreasonable,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Unreasonable.”,unreasonable conditions; unreasonable price,
A-0181,Unthrifty,unthriftie,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Unthrifty.”,unthrifty life; unthrifty living,
A-0184,Urgent,urgent; urgiant,Mental & Emotional State,"Describes an internal feeling, attitude, or mental posture characterized by “Urgent.”",urgent occasion; urgent necessity,
A-0185,Vendible,vendable,"Lawfulness, Merchantability, & Authenticity","Describes whether something is lawful, genuine, valid, authorized, or fit for commerce as framed by “Vendible.”",vendible goods,
A-0186,Venetian,venetian,Nationality,Describes national or regional origin indicated by “Venetian.”,venetian merchant,
A-0187,Vexatious,vexacion,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Vexatious.”,wrongful vexation; unjustly to vex,
A-0188,Violent,violent; violence,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Violent.”,violent hands; with great violence,
A-0217,Weekly,wekelie,Temporal Attributes,"Describes an event, payment, obligation, occurrence, or practice as taking place once each week or at intervals measured by weeks.",,
A-0214,Well-Ordered,,Condition & Appearance,"Describes a person, household, institution, activity, account, or arrangement as properly organized, regulated, or governed according to an established order.",,
A-0190,White,white,Condition & Appearance,"Describes a physical, sensory, or functional condition signaled by the adjective “White,” applied to people, goods, or objects.",white cloth,
A-0191,Wholesome,wholesome,Condition & Appearance,"Describes a physical, sensory, or functional condition signaled by the adjective “Wholesome,” applied to people, goods, or objects.",wholesome bread; wholesome for the body,
A-0192,Wicked,wicked; wickedly; abhomynable; ungodly,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Wicked.”,wicked practices; most wickedly,
A-0193,Wilful,wilful; willfully,Mental & Emotional State,"Describes an internal feeling, attitude, or mental posture characterized by “Wilful.”",wilfully done; wittingly and wilfully,
A-0194,Willing,willinge,Mental & Emotional State,"Describes an internal feeling, attitude, or mental posture characterized by “Willing.”",willing to undertake; then was willing,
A-0196,Worse,worse,Quantity & Value,"Describes magnitude, sufficiency, degree, or economic worth conveyed by “Worse.”",worse wines; far worse,
A-0197,Worshipful,worshippfull,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Worshipful.”,worshipful gentleman; grave and worshipful,
A-0211,Worthy,,Honorific & Courtesy Language,"An adjectival assessment expressing that a person, object, or claim is deserving of respect, approval, or consideration, as asserted within the context of the clause.",,
A-0198,Wrongful,wrongfull,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Wrongful.”,wrongful vexation; wrongfully detained,
